objectives;is_feasible;variables;evaluation_time
[3.3156028080000013, -2.499999999999566];True;[-0.36386760441707544, -3.4806337052229095, -2.4095627964000554, -2.717692454729883, 3.5361298369235747, 0.7747306635110887, -3.4904402616894203, -4.7044018553283244, 0.6166467306937697, -1.4607453325205366];171.13295190001372
[3.9822507360000037, -2.4999999999996034];True;[-1.303735812689263, 3.792363586427525, 4.8919865034593535, -0.17217679779880335, 4.010492157072475, -0.32353972002783493, -3.7246731223056537, 4.784551980007569, 4.504955437962639, 0.7032081616921593];172.67778420005925
[3.5386139520000026, -2.4999999999985287];True;[-1.6001085585399002, -1.5548678516281433, -2.471125170227537, -1.9167167473460758, 3.448681838997336, -0.5251585189677019, 3.00957938959227, 2.239481482267162, -3.985027465169164, -0.020007930995955547];172.853282499942
[3.725008992000012, -1.7185764];True;[-2.373964424437488, -4.914168942756422, 2.85194677761506, 0.753983907810599, 0.2528174757257373, -0.6432470733278226, 2.6501147242528864, -2.663531468715502, 4.714750558624061, 4.625399882637431];172.86907560005784
[3.1424770800000115, -2.499999999999626];True;[-2.3237030168770776, -4.099926433334048, 0.7295120211926616, -1.9120260119919, -1.6633710288116434, 1.2552924084254595, -4.813550963135103, -2.091865827536804, -3.5312984608876077, -3.2640218916564887];173.57290869997814
[3.8363068800000013, -2.3123322];True;[2.398962061961475, 2.4963107643343374, 1.4052673345237956, -1.6531242302178653, -2.2271647009585926, 3.022353358469058, 3.9191692714939244, 0.46877263697292015, 1.2307741416792686, -0.6545154551034056];151.92617900006007
[3.723168888000006, -1.065835];True;[-0.939791865141685, -4.547214826355105, 3.657710281448871, 1.9340499960688522, 1.6551917647545196, 2.4850614538920732, -3.921389326791024, -2.6544732781191493, 3.068888949785544, 4.430900760902745];153.30002329999115
[3.8863471680000012, -2.4999999999990754];True;[2.178896080402848, 1.217570976865594, 1.6509216648483962, 0.3522059819678187, -1.6458099615500856, 4.212246741461808, 3.998189025267415, -4.0481488554649445, 3.2379834355367194, 1.5694442381422498];154.83386170002632
[3.452200776000003, -2.4999999999711813];True;[-3.597301041265343, -1.7530214556985513, 3.1660019034354665, 0.48639284112370795, -3.9251550451787987, -0.23439921887019377, -0.5781049038637036, -2.286614873005327, 2.2267628892584304, -0.8804277099195374];155.25739869999234
[3.686804208000008, -2.4999999999983475];True;[0.5552993931913743, -2.032700892945385, 0.9177515188120013, 0.689491512808126, 4.89993684682746, -4.45200477773339, 2.5504700602334642, 4.924565964197527, -2.6329829773214772, -1.9344049510370431];155.82043109997176
[3.7138525920000083, -2.3799314];True;[-2.2856921319413734, -1.5586733477652404, 2.521590433392551, -2.587189291184969, 1.5128760705562527, 2.7000862524244598, 1.6020085178282901, 0.6864432987702003, -1.7107562222319093, 3.856928818619185];153.8135009999387
[3.7981938960000017, -2.4999999999978018];True;[-3.445748690608105, -1.21684096209664, 0.2473190839903694, 3.8492053326909, 1.4234120552783889, -3.958429289493748, 2.238480501054391, 4.674604447843354, 1.8736195882735904, 2.956722139097975];159.48021770000923
[3.5463858480000026, -2.3706272];True;[-0.6291220674450546, -1.1247993095483877, 0.3415837855887558, 3.417516158441737, -2.095562487418107, -3.0837300337577256, -4.487361531467323, -0.222702744386444, 0.5809109849636211, 4.287796207805783];162.5445347999921
[3.6183557520000074, -2.499999999997576];True;[1.1746115015120306, -4.862030001204424, 3.726971554953151, 2.190158069706202, 1.3643061144105335, 1.2130358840958095, 0.6434472101895663, -3.231405683283042, 2.8522523088309537, -4.754891713656331];163.23803530004807
